date,pre,hum,tem,occ
14/05/2020 21:35,94279.45,55.64,30.94,L
01/06/2020 12:00,95213.1,58.61,29.49,M
29/05/2020 01:25,95452.88,51.99,30.99,L
28/05/2020 02:15,94444.39,54.65,31.07,L
01/06/2020 09:05,95228.74,68.69,26.1,E
01/06/2020 10:10,95244.95,61.88,28.23,E
29/05/2020 03:20,94961.65,52.22,31.11,L
25/05/2020 19:00,93779.16,48.39,32.46,M
27/05/2020 03:25,94764.52,56.72,29.7,L
01/06/2020 06:05,95057.85,57.54,29.41,L
01/06/2020 09:45,95250.51,63.88,27.62,E
26/05/2020 03:40,94331.74,51.13,30.74,L
27/05/2020 03:20,94768.03,56.71,29.7,L
24/05/2020 12:00,94259.51,53.8,31.66,M
25/05/2020 17:50,93834.38,46.47,31.89,L
27/05/2020 07:40,94780.45,62.17,27.27,E
01/06/2020 01:40,95137.47,64.7,28.85,L
28/05/2020 09:05,94793.01,63.48,29.55,L
14/05/2020 22:55,94339.17,56.37,30.92,L
27/05/2020 09:20,94833.25,63.77,27.25,E
29/05/2020 02:30,95257.64,51.81,30.86,L
28/05/2020 05:45,94735.84,56.94,30.94,L
26/05/2020 04:30,94456.41,50.9,30.18,L
01/06/2020 10:25,95237,61.35,28.45,E
04/06/2020 07:15,94627.43,62.03,29.85,E
04/06/2020 02:30,94621.04,53.33,30.75,L
29/05/2020 00:15,95121.61,44.74,31.83,M
29/05/2020 02:20,95325.46,51.32,30.9,L
01/06/2020 05:55,95061.93,57.84,29.35,L
26/05/2020 03:25,94290.96,54.15,30.5,L
28/05/2020 12:10,94871.35,56.25,30.49,E
29/05/2020 06:30,95066,53.57,30.93,L
26/05/2020 02:10,94262.58,51.95,31.41,L
27/05/2020 08:15,94790.49,62.59,27.22,E
01/06/2020 04:20,95090.14,57.91,29.64,L
27/05/2020 09:25,94831.66,63.6,27.26,E
31/05/2020 20:05,95032.23,56.05,29.76,L
26/05/2020 01:45,94300.54,47.09,31.85,L
04/06/2020 12:55,94653.87,60.28,30.77,L
28/05/2020 02:50,94421.95,55.02,31.04,L
26/05/2020 02:30,94218.01,55.24,30.52,L
29/05/2020 06:10,95040.73,53.68,30.92,L
28/05/2020 02:35,94432.5,54.85,31.07,L
29/05/2020 04:50,95114.5,53.16,31.07,L
04/06/2020 19:30,94411.18,53.02,31.52,M
28/05/2020 05:55,94736.97,56.94,30.94,L
25/05/2020 21:20,94010.92,50.03,32.5,L
26/05/2020 00:45,94352.34,48.97,31.74,L
28/05/2020 04:50,94661.79,56.64,30.92,L
29/05/2020 04:15,95034.82,52.94,31.08,L
04/06/2020 20:25,94471.54,54.24,31.52,L
01/06/2020 12:10,95210.44,58.16,29.41,M
04/06/2020 22:55,94585.56,56.7,31.78,L
25/05/2020 18:20,93799.93,48.11,32.17,L
04/06/2020 09:00,94699.45,61.62,29.92,E
28/05/2020 12:20,94890.68,55.86,30.47,E
25/05/2020 16:30,93901.19,50.24,32.18,M
25/05/2020 17:45,93842.42,45.76,31.96,L
04/06/2020 21:05,94496.75,46.51,31.23,L
14/05/2020 21:05,94269.77,54.45,30.99,L
28/05/2020 01:50,94450.72,54.28,30.96,L
28/05/2020 10:25,94842.72,60.1,30.3,L
04/06/2020 15:55,94468.33,54.03,31.2,L
29/05/2020 00:05,95058.93,42.95,32.15,L
25/05/2020 19:15,93740.72,48.54,32.51,M
01/06/2020 08:00,95122.07,63.39,26.69,E
04/06/2020 22:10,94558.67,53.65,31.23,E
26/05/2020 04:55,94522.61,50.91,29.95,L
27/05/2020 05:25,94727.87,56.21,29.65,L
25/05/2020 18:50,93779.94,48.33,32.4,M
04/06/2020 22:35,94561.48,56.78,31.54,E
